,Date,Calories,Steps,Distance,floors,Minutes_sitting,Minutes_of_slow_activity,Minutes_of_moderate_activity,Minutes_of_intense_activity,Calories_Activity
100,16-08-2015,2.7060000000000004,6238.0,4.64,3,688.0,267,0,0,1084.0
101,17-08-2015,3.6830000000000003,15572.0,11.57,9,515.0,472,33,14,2362.0
102,18-08-2015,3.1060000000000003,10886.0,8.09,19,639.0,292,27,20,1578.0
103,19-08-2015,3.217,12213.0,9.07,6,421.0,381,13,8,1834.0
104,20-08-2015,3.4210000000000003,12929.0,9.61,4,565.0,425,25,18,2070.0
105,21-08-2015,3.3819999999999997,16364.999999999998,12.16,5,461.0,329,45,16,1950.0
106,22-08-2015,3.498,17252.0,12.82,15,481.0,382,19,42,2164.0
107,23-08-2015,3.2880000000000003,14537.0,10.8,3,518.0,345,19,47,1937.0
108,24-08-2015,3.215,13404.0,9.96,18,685.0,192,38,71,1648.0
109,25-08-2015,3.063,10940.0,8.13,12,697.0,199,52,50,1530.0
110,26-08-2015,2.928,10032.0,7.45,13,757.0,175,45,45,1328.0
111,27-08-2015,3.2289999999999996,14008.0,10.41,6,544.0,334,18,35,1828.0
112,28-08-2015,3.3560000000000003,12149.0,9.03,11,1.051,369,9,11,1861.0
113,29-08-2015,3.89,19977.0,14.84,26,648.0,395,23,74,2540.0
114,30-08-2015,2.9610000000000003,11924.0,8.91,64,1.421,0,0,0,0.0
115,31-08-2015,3.136,10757.0,7.99,15,1.187,145,43,65,1532.0
116,01-09-2015,3.681,12229.0,9.11,24,689.0,421,17,16,2200.0
117,02-09-2015,3.009,10330.0,7.68,16,770.0,248,16,15,1369.0
118,03-09-2015,3.094,11689.0,8.69,11,1.043,182,50,51,1530.0
119,04-09-2015,3.5180000000000002,15627.0,11.61,26,606.0,284,50,55,2063.0
120,05-09-2015,2.885,10681.0,7.94,1,656.0,240,15,30,1356.0
121,06-09-2015,2.745,7907.0,5.88,0,654.0,287,0,0,1217.0
122,07-09-2015,2.8289999999999997,9487.0,7.05,17,1.156,152,40,28,1197.0
